recipe_id,recipe_name,recipe_slug,category,meal_type,image_url,generated_at
"cmifeod1i01cbkgebnvs4et8n","Chicken Noodle Soup","chicken-noodle-soup","Family Favorites","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeod1i01cbkgebnvs4et8n.jpg","2025-11-26T03:37:47.423Z"
"cmifeop9m02tbkgebxitnzkz8","Chicken Parmesan (Baked)","baked-chicken-parmesan","Family Favorites","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeop9m02tbkgebxitnzkz8.jpg","2025-11-26T03:37:58.516Z"
"cmifeog7b01p9kgeb4vzw21pt","Chicken Piccata","chicken-piccata","Poultry","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeog7b01p9kgeb4vzw21pt.jpg","2025-11-26T03:38:11.155Z"
"cmifeoq8102x4kgebcgwf0gk7","Chicken Pot Pie Skillet","chicken-pot-pie-skillet","Family Favorites","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoq8102x4kgebcgwf0gk7.jpg","2025-11-26T03:38:23.860Z"
"cmifeocii01aokgebnhh8k2av","Chicken Quesadilla with Guacamole","chicken-quesadilla","Family Favorites","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeocii01aokgebnhh8k2av.jpg","2025-11-26T03:38:36.083Z"
"cmifeob1m0145kgebi1tl12fc","Chicken Shawarma Wrap","chicken-shawarma-wrap","Sandwiches & Wraps","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeob1m0145kgebi1tl12fc.jpg","2025-11-26T03:39:34.042Z"
"cmifeogaz01pskgebm1o7h4nb","Chicken Souvlaki with Tzatziki","chicken-souvlaki-tzatziki","Poultry","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeogaz01pskgebm1o7h4nb.jpg","2025-11-26T03:39:45.716Z"
"cmifeogw401snkgebufq79u9g","Chicken Stir-Fry with Mixed Vegetables","chicken-stir-fry-vegetables","Poultry","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeogw401snkgebufq79u9g.jpg","2025-11-26T03:39:58.433Z"
"cmifeohjm01v9kgebswb5jy1v","Chicken Tikka Masala (Lightened)","chicken-tikka-masala-lightened","Poultry","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeohjm01v9kgebswb5jy1v.jpg","2025-11-26T03:40:10.220Z"
"cmifeomji02gpkgebwme3zq8n","Chicken Tortilla Soup","chicken-tortilla-soup","Mexican/Latin","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeomji02gpkgebwme3zq8n.jpg","2025-11-26T03:55:57.993Z"
